id	name	stack	parent	summary	zoneId	zoneTitle	mem	anchors	shape	scriptSrc	notes	presets	extract
yarn	Yarn	Node.js	node	Yarn Classic or Berry; workspaces via yarn workspace from repo root.	project-root	Project root	yarn.lock and optional .yarnrc.yml	package.json yarn.lock .yarnrc.yml	yarn workspace {name} run {script}	package.json scripts	yarn workspace routes monorepos without cd.	install=yarn install|dev=yarn run dev	package.json:scripts,name,workspaces
bun	Bun	Node.js	node	Runtime plus package manager; bun install / bun run.	project-root	Project root	bun.lockb; package.json scripts	package.json bun.lockb bunfig.toml	bun run {script}	package.json scripts	bun may invoke known scripts without run.	install=bun install|dev=bun run dev	package.json:scripts
deno	Deno	Deno		Secure JS/TS runtime; deno.json tasks; URL imports.	project-root	Deno project	deno.json tasks — not package.json scripts	deno.json deno.jsonc deno.lock	deno task {name}	deno.json tasks	Tasks live in deno.json.	task=deno task|run=deno run -A main.ts	deno.json:tasks,imports
corepack	Corepack	Node.js	node	Pins yarn/pnpm via package.json packageManager field.	project-root	Package manager pin	packageManager field is the pin	package.json	corepack prepare --activate	package.json packageManager	Prefer Corepack over npm -g for pnpm/yarn.	enable=corepack enable|prepare=corepack prepare --activate	package.json:packageManager
react	React	React	node	UI library; usually controlled by a meta-framework.	src	React tree	jsx/tsx; no CLI — parent owns dev	package.json	{pm} run dev via host	host framework scripts	Control tree points upward to Next/Vite.	dev=pnpm run dev	package.json:dependencies.react
vue	Vue	Vue	node	Progressive framework; often Vite or Nuxt.	src	Vue SFCs	*.vue single-file components	package.json vite.config.ts	{pm} run dev	package.json scripts	create-vue plus Vite is current.	dev=pnpm run dev	package.json:dependencies.vue
nuxt	Nuxt	Nuxt	vue	Vue meta-framework; nuxi CLI.	app	Nuxt app	nuxt.config; app/ or pages/	nuxt.config.ts package.json	nuxi {cmd} or {pm} run {script}	package.json scripts	nuxi controls Vue app lifecycle.	dev=pnpm run dev|build=pnpm run build	package.json:dependencies.nuxt,scripts
angular	Angular	Angular	node	Full framework; angular.json workspace; ng CLI.	workspace	Angular workspace	angular.json projects	angular.json package.json	ng serve {project}	angular.json projects	Select project by name — do not cd into apps.	serve=ng serve|build=ng build	angular.json:projects
svelte	Svelte	Svelte	node	Compiler UI; SvelteKit usually owns the app shell.	src	Svelte components	*.svelte files	package.json	{pm} run dev via Vite or Kit	host scripts	Bare Svelte is a compiler.	dev=pnpm run dev	package.json:dependencies.svelte
sveltekit	SvelteKit	SvelteKit	svelte	Svelte app framework; src/routes; Vite-powered.	routes	Kit routes	src/routes; svelte.config.js	svelte.config.js src/routes package.json	{pm} run dev	package.json scripts	Stay at package root.	dev=pnpm run dev|build=pnpm run build	package.json:scripts
astro	Astro	Astro	node	Content-focused meta-framework; islands.	pages	Astro pages	src/pages; astro.config	astro.config.mjs src/pages package.json	astro {cmd} or {pm} run {script}	package.json scripts	astro dev is the usual entry.	dev=pnpm run dev|build=pnpm run build	package.json:dependencies.astro,scripts
remix	Remix	Remix	node	Web framework on React Router.	app	Remix app	app/routes	app/routes vite.config.ts package.json	{pm} run dev	package.json scripts	Remix controls React routing.	dev=pnpm run dev	package.json:scripts
gatsby	Gatsby	Gatsby	node	React static site generator.	site	Gatsby site	gatsby-config; src/pages	gatsby-config.js package.json	gatsby develop	package.json scripts	Prefer pinned scripts over global CLI.	develop=pnpm run develop	package.json:dependencies.gatsby,scripts
express	Express	Express	node	Minimal Node HTTP framework; script-owned entry.	server	Express app	main server via package.json start	package.json src/index.ts	{pm} run start	package.json scripts	No Express CLI.	start=pnpm run start|dev=pnpm run dev	package.json:dependencies.express,scripts
nestjs	NestJS	NestJS	node	Opinionated Node framework; nest-cli.json.	src	Nest modules	src/; nest-cli.json	nest-cli.json package.json src/main.ts	nest start	nest-cli plus scripts	nest generate from project root.	start=pnpm run start:dev|build=pnpm run build	nest-cli.json:sourceRoot
hono	Hono	Hono	node	Small multi-runtime web framework.	app	Hono app	src/index; wrangler.toml on Cloudflare	package.json wrangler.toml	{pm} run dev	package.json scripts	Host runtime owns the process.	dev=pnpm run dev	package.json:dependencies.hono,scripts
fastify	Fastify	Fastify	node	High-performance Node HTTP framework.	server	Fastify server	app entry plus plugins	package.json	{pm} run start	package.json scripts	No required CLI.	start=pnpm run start	package.json:dependencies.fastify,scripts
electron	Electron	Electron	node	Desktop Chromium plus Node.	main	Main plus renderer	main process, preload, renderer	package.json	electron . or {pm} run electron:dev	package.json scripts	Main vs renderer are two process trees.	dev=pnpm run electron:dev	package.json:devDependencies.electron,scripts
